timestamp,elapsed_s,ready,total,hpa_desired,hpa_current
2026-04-06T06:34:40Z,759,5,6,390144k/700Mi,3
2026-04-06T06:34:48Z,767,5,6,390242304/700Mi,3
2026-04-06T06:34:56Z,775,5,6,390242304/700Mi,3
2026-04-06T06:35:04Z,783,5,5,390320947200m/700Mi,3
2026-04-06T06:35:12Z,791,5,5,390320947200m/700Mi,3
2026-04-06T06:35:20Z,799,5,5,390405324800m/700Mi,3
2026-04-06T06:35:28Z,807,5,5,390405324800m/700Mi,3
2026-04-06T06:35:36Z,815,5,5,390443827200m/700Mi,3
2026-04-06T06:35:44Z,823,5,5,390542950400m/700Mi,3
2026-04-06T06:35:53Z,831,5,5,390542950400m/700Mi,3
2026-04-06T06:36:01Z,840,5,4,390592921600m/700Mi,3
2026-04-06T06:36:09Z,848,4,4,390592921600m/700Mi,3
